Year of death;Month of death;Certain infectious and parasitic diseases (A00-B99);Neoplasms (C00-D48);Diseases of the blood and immune mechanism (D50-D89);"Endocrine; nutritional and metabolic diseases (E00-E90)";Mental and behavioural disorders (F00-F99);Diseases of the nervous system (G00-G99);Diseases of the eye and adnexa (H00-H59);Diseases of the ear and mastoid process (H60-H95);Diseases of the circulatory system (I00-I99);Diseases of the respiratory system (J00-J99);Diseases of the digestive system (K00-K93);Diseases of the skin and subcutaneous tissue (L00-L99);Diseases of the musculoskeletal system etc. (M00-M99);Diseases of the genitourinary system (N00-N99);"Pregnancy; childbirth and puerperium (O00-O99)";Certain conditions originating in the perinatal period (P00-P96);Congenital malformations (Q00-Q99);Symptoms and signs not elsewhere classified (R00-R99);External causes of morbidity and mortality (V01-Y98);Total
1997;January;3133;2247;305;1140;107;429;1;4;4222;1744;714;54;63;342;43;1822;129;2808;3935;23242
1997;February;2930;2223;352;1095;106;429;2;5;3954;1725;669;63;74;323;36;2396;136;2655;4161;23334
1997;March;3124;2210;339;1101;98;441;0;4;3990;1758;773;50;69;318;52;2451;150;3054;4624;24606
1997;April;3205;2261;366;1256;122;428;1;10;4546;2114;727;73;79;372;72;2695;156;3247;3911;25641
1997;May;3509;2495;401;1330;122;553;2;8;5286;2424;850;63;93;381;56;2996;190;3655;4488;28902
1997;June;3446;2325;399;1500;152;594;1;1;5994;2917;815;71;107;412;48;2417;194;4006;4783;30182
1997;July;3601;2431;439;1459;158;596;2;3;6052;3084;804;81;108;381;60;2105;157;4096;4597;30214
1997;August;3312;2267;419;1354;146;587;1;4;5385;2753;675;78;105;358;59;1998;147;3749;4766;28163
1997;September;3374;2270;414;1308;129;531;2;6;5064;2644;751;85;99;405;57;1894;113;3776;4415;27337
1997;October;3573;2438;490;1296;112;509;4;4;4918;2263;758;75;104;431;54;1974;164;3947;4798;27912
1997;November;3358;2320;459;1202;103;485;2;4;4586;2139;721;69;107;400;51;1851;150;3453;4550;26010
1997;December;3578;2417;482;1332;123;531;0;5;4857;2240;779;60;106;433;54;2079;139;3944;5140;28299
1998;January;3784;2341;558;1297;129;513;5;7;4525;2193;815;65;78;382;51;2456;149;4053;3817;27218
1998;February;3480;2245;460;1207;123;451;0;3;4089;1941;771;65;78;350;35;2356;146;3614;3818;25232
1998;March;3811;2439;565;1370;95;532;0;9;4537;2240;716;63;76;375;47;2773;139;3856;4738;28381
1998;April;3842;2467;552;1429;93;600;2;9;4992;2372;792;64;92;435;46;2759;156;3910;4683;29295
1998;May;4807;2808;723;1945;164;690;2;3;6880;4767;975;87;126;535;59;3425;182;5820;4834;38832
1998;June;4553;2447;661;1719;153;725;2;6;6451;5092;861;79;115;473;50;2848;167;5591;4411;36404
1998;July;3987;2521;612;1508;148;664;2;8;6078;3581;913;85;100;471;56;2118;122;4874;4657;32505
1998;August;4238;2429;643;1449;147;659;2;3;5867;3261;829;86;102;421;48;1917;168;4591;5056;31916
1998;September;4577;2430;682;1543;156;641;2;7;5515;3015;812;67;100;437;69;2493;176;3726;4572;31020
1998;October;4850;2523;705;1456;125;651;1;7;5502;2957;800;84;101;394;78;2675;180;3802;4693;31584
1998;November;4731;2473;714;1374;125;621;4;4;5138;2634;699;71;97;379;58;2723;149;3490;4527;30011
1998;December;4974;2473;694;1470;128;641;1;4;5108;2714;906;69;111;398;55;2847;133;3810;5381;31917
1999;January;5321;2432;779;1463;105;590;4;3;4894;2702;888;72;125;420;65;3125;150;3681;4601;31420
1999;February;4753;2358;715;1309;91;554;1;6;4373;2392;804;59;108;348;63;3092;132;3249;4117;28524
1999;March;5326;2568;847;1467;122;621;4;8;4919;2631;873;74;120;387;50;3592;172;3516;4439;31736
1999;April;4994;2565;812;1395;117;618;2;10;5088;2735;933;68;134;434;54;3034;142;3570;4208;30913
1999;May;5159;2725;805;1509;139;685;3;10;5751;3056;963;90;131;413;79;3235;162;3851;4423;33189
1999;June;5024;2459;861;1507;140;712;3;5;5899;3501;856;88;117;396;66;3239;160;4210;4044;33287
1999;July;5622;2727;931;1766;162;818;5;5;6862;4409;899;113;129;452;61;2744;174;4508;4614;37001
1999;August;5498;2654;907;1705;181;739;3;8;6261;4047;932;98;133;438;59;2306;134;4453;4408;34964
1999;September;5487;2428;899;1521;115;666;3;0;5796;3460;804;87;123;425;63;2026;141;4103;4111;32258
1999;October;5743;2659;950;1532;150;654;4;9;5591;3457;856;105;118;414;56;2691;148;4273;4729;34139
1999;November;5659;2569;1000;1417;129;671;5;5;5168;3100;837;85;112;421;58;2661;148;3878;4441;32364
1999;December;6026;2532;1055;1443;143;685;1;8;5428;3317;911;81;106;463;54;2949;183;4105;5308;34798
2000;January;6219;2516;1102;1550;159;729;1;4;5394;3057;937;88;118;443;67;2807;136;4211;3911;33449
2000;February;5464;2381;984;1382;119;587;0;6;4473;2692;775;78;93;400;57;2797;143;3622;3472;29525
2000;March;6085;2424;1054;1379;108;677;1;7;4848;2937;940;92;116;411;64;3127;158;3837;3910;32175
2000;April;6188;2523;1059;1508;122;673;5;6;5318;3373;996;92;132;443;66;2819;145;4051;4092;33611
2000;May;6556;2769;1153;1737;182;844;4;7;6391;4142;1059;107;135;494;64;3282;195;4608;3872;37601
2000;June;6581;2537;1140;1765;164;783;3;2;6694;4215;1008;92;131;536;76;3414;169;4705;4113;38128
2000;July;7090;2734;1237;1882;173;901;3;9;7224;4684;987;131;143;514;64;3133;176;4881;4637;40603
2000;August;7104;2683;1138;1778;163;865;4;6;6812;4541;993;108;134;535;59;2931;148;4595;4253;38850
2000;September;6830;2567;1042;1652;128;890;2;7;6266;4219;935;85;120;483;64;2760;166;4565;4302;37083
2000;October;6866;2598;1066;1566;145;834;7;5;5950;4076;958;89;114;458;58;2747;153;4249;4064;36003
2000;November;6908;2556;1147;1624;150;805;1;5;5665;3858;933;110;118;471;54;2571;146;4270;3936;35328
2000;December;7069;2579;1066;1653;148;861;2;7;5557;3738;1079;82;119;480;76;2714;165;4690;5316;37401
2001;January;7744;2696;1134;1702;153;795;1;8;5723;3902;1081;94;134;550;73;2956;123;4389;4049;37307
2001;February;6183;2407;995;1366;125;707;3;3;4807;3181;922;67;108;394;60;2526;125;3841;3475;31295
2001;March;7018;2681;1079;1477;110;802;1;2;5320;3741;1135;83;129;497;74;2606;171;4289;4265;35480
2001;April;6838;2579;1057;1591;116;757;2;6;5534;3928;1138;78;135;517;79;3003;164;4404;4110;36036
2001;May;7808;2763;1190;1917;154;871;0;8;6516;4581;1156;96;123;551;83;3543;189;4854;3892;40295
2001;June;7414;2777;1183;1937;150;915;1;8;6798;5208;1148;107;187;550;61;3382;148;5238;4113;41325
2001;July;7950;2726;1283;2154;171;1081;1;7;7901;6472;1208;129;166;610;80;3247;165;5950;4073;45374
2001;August;7806;2493;1255;1970;148;970;4;10;6813;6121;1126;110;170;603;74;3158;127;5507;3939;42404
2001;September;7560;2415;1245;1686;148;840;1;9;6090;4884;1010;88;135;511;71;3134;183;4890;4259;39159
2001;October;7724;2391;1229;1575;140;852;1;5;5540;4473;1036;97;158;548;78;3091;151;4665;4160;37914
2001;November;8133;2695;1325;1612;115;891;2;8;5810;4567;1112;94;141;562;60;3197;178;4738;4514;39754
2001;December;8720;2732;1444;1828;140;925;3;13;6248;5094;1284;115;163;600;84;3514;157;5403;5614;44081
2002;January;9137;2604;1364;1932;131;969;0;8;6145;4647;1255;110;164;540;68;3362;165;4918;4022;41541
2002;February;7985;2575;1107;1595;153;806;1;6;5122;3903;1095;91;145;496;80;2784;138;4362;3625;36069
2002;March;8644;2683;1319;1730;153;889;2;5;5413;4209;1180;113;119;560;54;3394;146;4632;4407;39652
2002;April;8600;2626;1270;1759;123;846;1;11;5555;4369;1140;121;153;499;76;3743;176;4704;3891;39663
2002;May;9210;2864;1326;1959;148;1015;3;6;6514;5192;1247;111;141;573;65;4121;182;5379;4071;44127
2002;June;8870;2700;1357;2046;182;1069;4;9;7266;5985;1174;109;157;610;77;3784;166;6041;4261;45867
2002;July;9350;2804;1416;2129;205;1064;7;9;7850;6720;1166;156;169;615;73;3552;180;6117;4391;47973
2002;August;9252;2702;1372;1942;185;1043;2;6;7109;6172;1103;119;153;613;76;3270;160;5498;4379;45156
2002;September;9078;2551;1368;1877;158;956;1;6;6614;5799;1041;128;136;555;60;3001;143;5190;4340;43002
2002;October;9392;2772;1397;1997;126;1041;2;9;6496;5537;1153;109;135;579;69;3390;146;5336;4402;44088
2002;November;9429;2761;1300;1934;145;1034;2;7;6329;5391;1084;117;147;570;63;3168;172;5536;4457;43646
2002;December;9711;2739;1327;1942;178;1042;2;8;6418;5422;1240;120;162;619;58;3458;139;5682;5575;45842
2003;January;10396;2787;1543;1930;142;1127;1;9;6290;5440;1242;116;131;585;75;3562;144;5396;4109;45025
2003;February;8998;2623;1336;1652;158;899;3;10;5467;4627;1043;104;130;476;52;3329;138;4773;4019;39837
2003;March;10154;2870;1540;1791;158;1052;1;10;5993;5434;1245;109;126;592;84;3966;184;5346;4525;45180
2003;April;9635;2742;1385;1846;139;1030;2;9;5895;5280;1151;98;136;554;71;3899;182;5162;4199;43415
2003;May;10645;2891;1512;2042;172;1112;3;8;7116;6230;1328;100;143;623;80;4371;209;6095;3952;48632
2003;June;10758;2830;1613;2325;183;1220;4;10;8352;7527;1321;115;195;684;94;4273;165;6907;4073;52649
2003;July;10811;2788;1530;2389;182;1318;2;5;8425;7805;1320;138;213;765;80;3912;188;6816;4449;53136
2003;August;10865;2828;1698;2273;188;1252;2;12;8210;7396;1269;160;193;803;82;3681;165;6844;4553;52474
2003;September;10409;2608;1587;2182;162;1193;6;6;7067;6812;1259;120;183;658;66;3537;176;6139;4346;48516
2003;October;10843;2878;1632;2024;157;1232;1;10;7048;6479;1260;136;162;696;81;3487;165;5934;4514;48739
2003;November;10214;2785;1546;1791;127;1109;3;8;6279;6049;1207;97;143;666;79;3496;154;5416;4805;45974
2003;December;10985;2773;1644;2024;139;1153;3;9;6575;6228;1440;115;141;688;80;3987;170;5871;5447;49472
2004;January;10963;2794;1584;2028;127;1129;2;5;6311;5804;1372;124;152;631;80;4047;172;5583;4192;47100
2004;February;10212;2632;1578;1925;116;1114;6;4;5834;5208;1309;107;147;581;103;3726;157;4835;4058;43652
2004;March;11128;2929;1607;1987;129;1109;4;2;6083;5647;1407;118;153;589;101;4117;181;5315;4003;46609
2004;April;11195;2861;1693;2013;140;1144;6;9;6243;5911;1397;105;196;615;79;4048;184;5545;4025;47409
2004;May;11769;2993;1714;2153;128;1273;2;13;6859;6481;1491;121;177;677;99;4876;222;5993;4511;51552
2004;June;11584;2892;1588;2325;156;1391;1;8;7651;7415;1485;130;226;704;81;4883;210;6709;4159;53598
2004;July;11598;2968;1760;2341;170;1359;3;7;8130;8020;1441;125;227;753;101;4229;196;6769;4796;54993
2004;August;11563;2848;1747;2215;153;1343;2;11;7445;7319;1365;131;205;663;107;3979;166;6542;4621;52425
2004;September;11351;2746;1656;1993;158;1267;1;12;6633;6733;1333;126;192;641;103;3727;183;6105;4217;49177
2004;October;11304;2915;1660;2038;132;1263;5;10;6504;6484;1273;134;201;645;116;3682;163;6057;4834;49420
2004;November;11009;2787;1581;1920;122;1269;3;7;6157;6335;1298;121;164;619;128;3898;171;5908;4466;47963
2004;December;11314;2958;1627;2046;154;1278;3;11;6411;6153;1417;106;166;672;93;3983;186;6121;5608;50307
2005;January;11620;2906;1675;2069;151;1276;1;9;6220;5963;1386;117;174;628;118;4110;177;6162;4334;49096
2005;February;10320;2795;1513;1901;121;1181;2;7;5319;5119;1299;104;176;575;91;3942;185;5444;3817;43911
2005;March;11391;2922;1685;2128;128;1316;1;8;5944;5787;1396;117;183;615;93;4600;176;6095;4283;48868
2005;April;11223;2881;1541;2115;129;1227;3;8;5935;5729;1357;100;174;680;97;4505;196;5692;4021;47613
2005;May;12350;2996;1674;2307;132;1357;7;13;7008;6896;1457;107;186;654;127;5452;205;6454;4471;53853
2005;June;12333;2988;1797;2516;170;1425;4;6;7617;8206;1502;114;209;751;111;5263;200;7053;4133;56398
2005;July;12320;2887;1655;2566;176;1387;4;11;7653;8083;1335;108;234;681;92;4304;187;6897;5000;55580
2005;August;12422;2871;1776;2460;175;1510;6;14;7547;7732;1376;118;249;756;125;4100;179;6689;4499;54604
